,TOV,L,Opp.,AST,3P,FG,SRS,PF,ORB,FG%,BLK,3P%,STL,school,Rk,W,FGA,G,FT,Tm.,TRB,School,FTA,3PA,W-L%,SOS,FT%,MP
,461,8,2279,481,213,870,-8.87,671,305,.464,128,.325,260,Abilene Christian,1,6,1873,32,406,2359,1092,Abilene Christian,579,656,.500,-6.55,.701,1290
,391,10,2244,445,250,733,-4.02,557,302,.419,78,.331,201,Air Force,2,3,1751,31,408,2124,1014,Air Force,556,755,.387,2.01,.734,1245
,440,10,2411,417,305,793,-6.67,637,300,.435,81,.360,189,Akron,3,2,1823,32,405,2296,1066,Akron,582,848,.438,-1.76,.696,1295
,514,18,2367,340,182,673,-23.87,506,328,.397,49,.303,123,Alabama A&M,4,1,1697,31,345,1873,1046,Alabama A&M,533,601,.097,-7.94,.647,1245
,437,6,2303,559,223,945,4.61,490,334,.487,126,.345,178,UAB,5,5,1939,33,423,2536,1259,Alabama-Birmingham,564,647,.606,-0.94,.750,1330
,437,13,2437,314,209,751,-18.45,648,394,.409,130,.328,169,Alabama St.,6,4,1838,31,418,2129,1131,Alabama State,647,638,.258,-8.51,.646,1245
,481,8,2379,426,217,860,12.95,645,341,.458,186,.325,218,Alabama,7,2,1877,34,523,2460,1231,Alabama NCAA,778,668,.559,10.57,.672,1360
,371,7,2182,405,184,839,0.10,528,377,.457,91,.367,150,Albany (NY),8,8,1836,32,513,2375,1191,Albany (NY),680,502,.688,-5.32,.754,1280
,459,16,2388,419,239,791,-17.87,613,304,.433,85,.338,200,Alcorn,9,2,1826,32,423,2244,1104,Alcorn State,598,708,.344,-8.41,.707,1285
,413,16,2215,367,239,698,-14.46,550,238,.432,98,.337,217,American,10,2,1615,30,326,1961,869,American,491,709,.200,-5.99,.664,1205
,457,11,2448,408,292,864,-4.55,626,389,.436,116,.340,198,Appalachian St.,11,4,1983,33,500,2520,1291,Appalachian State,748,860,.455,-2.39,.668,1340
,333,6,2335,439,277,867,15.02,585,307,.464,111,.364,204,Arizona St.,12,4,1867,31,578,2589,1093,Arizona State NCAA,783,760,.645,6.83,.738,1250
,417,3,2420,518,235,980,16.92,592,341,.505,155,.377,168,Arizona,13,8,1940,34,555,2750,1246,Arizona NCAA,729,624,.794,7.22,.761,1380
,459,14,2242,391,200,750,-10.12,612,322,.427,93,.321,159,Little Rock,14,2,1755,32,338,2038,1088,Arkansas-Little Rock,553,623,.219,-1.88,.611,1300
,500,13,2499,427,217,815,-14.67,681,277,.437,144,.329,274,Ark.-Pine Bluff,15,6,1863,35,460,2307,1024,Arkansas-Pine Bluff,681,660,.400,-9.18,.675,1410
,419,13,2523,341,236,842,-9.35,589,354,.441,94,.340,215,Arkansas St.,16,4,1910,32,449,2369,1071,Arkansas State,625,695,.344,-2.71,.718,1290
,374,7,2568,492,265,985,15.69,686,346,.477,157,.400,212,Arkansas,17,3,2063,34,522,2757,1183,Arkansas NCAA,770,663,.676,10.13,.678,1375
,403,12,2223,500,295,820,-8.55,593,300,.444,83,.383,170,Army West Point,18,4,1845,30,295,2230,1074,Army,448,771,.433,-7.10,.658,1205
,393,4,2346,462,312,868,17.54,635,388,.439,173,.366,238,Auburn,19,7,1977,32,620,2668,1222,Auburn NCAA,789,852,.781,7.48,.786,1280
,457,9,2297,421,193,852,-3.38,641,414,.454,98,.349,211,Austin Peay,20,5,1876,32,454,2351,1125,Austin Peay,694,553,.563,-2.15,.654,1290
,423,10,2362,453,245,856,-1.04,548,318,.452,112,.337,170,Ball St.,21,5,1895,32,453,2410,1210,Ball State,643,727,.594,-1.81,.705,1295
,432,9,2232,473,204,880,15.03,580,378,.466,140,.354,177,Baylor,22,2,1889,32,448,2414,1221,Baylor,605,576,.563,9.90,.740,1295
,410,6,2284,529,378,901,5.68,531,258,.486,82,.376,161,Belmont,23,9,1853,33,382,2562,1133,Belmont,517,1005,.727,-2.75,.739,1320
,507,10,2543,501,241,903,-12.09,670,424,.443,123,.318,202,Bethune-Cookman,24,8,2039,32,574,2621,1346,Bethune-Cookman,819,759,.563,-12.35,.701,1290
,381,12,2181,376,235,787,-10.26,522,283,.443,131,.350,170,Binghamton,25,3,1775,31,338,2147,1066,Binghamton,528,671,.355,-6.33,.640,1245
,415,5,2133,415,299,855,11.68,552,303,.465,68,.384,173,Boise St.,26,6,1838,31,419,2428,1189,Boise State,567,779,.742,3.15,.739,1260
,432,10,2531,485,294,923,9.67,551,360,.453,108,.362,171,Boston College,27,2,2039,34,471,2611,1262,Boston College,637,812,.559,7.32,.739,1375
,427,9,2226,420,229,800,-8.25,531,296,.462,103,.373,229,Boston U.,28,9,1730,31,357,2186,1044,Boston University,559,614,.484,-5.75,.639,1240
